milestone_id,employee_id,course,due_day,status
LRN-30417,EMP7138,Role-Specific Certification,Day 60,Completed
LRN-30418,EMP7139,Security Awareness,Day 7,Completed
LRN-30419,EMP7139,Data Privacy (PDPA/GDPR),Day 30,In Progress
LRN-30420,EMP7139,Compliance Refresher,Day 60,In Progress
LRN-30421,EMP7140,Security Awareness,Day 7,Completed
LRN-30422,EMP7140,Data Privacy (PDPA/GDPR),Day 30,Not Started
LRN-30423,EMP7140,Role-Specific Certification,Day 60,Completed
LRN-30424,EMP7141,Security Awareness,Day 7,Completed
LRN-30425,EMP7141,Data Privacy (PDPA/GDPR),Day 30,Completed
LRN-30426,EMP7141,Compliance Refresher,Day 60,Completed
LRN-30427,EMP7142,Code of Conduct,Day 7,In Progress
LRN-30428,EMP7142,Data Privacy (PDPA/GDPR),Day 30,Completed
LRN-30429,EMP7142,Role-Specific Certification,Day 60,In Progress
LRN-30430,EMP7143,Security Awareness,Day 7,Completed
LRN-30431,EMP7143,Data Privacy (PDPA/GDPR),Day 30,Completed
LRN-30432,EMP7143,Compliance Refresher,Day 60,Completed
LRN-30433,EMP7144,Security Awareness,Day 7,Completed
LRN-30434,EMP7144,Anti-Harassment & Respect at Work,Day 30,In Progress
LRN-30435,EMP7144,Compliance Refresher,Day 60,Completed
LRN-30436,EMP7145,Code of Conduct,Day 7,In Progress
LRN-30437,EMP7145,Data Privacy (PDPA/GDPR),Day 30,Completed
LRN-30438,EMP7145,Compliance Refresher,Day 60,Not Started
LRN-30439,EMP7146,Security Awareness,Day 7,Not Started
LRN-30440,EMP7146,Anti-Harassment & Respect at Work,Day 30,Completed
LRN-30441,EMP7146,Role-Specific Certification,Day 60,Completed
LRN-30442,EMP7147,Code of Conduct,Day 7,Completed
LRN-30443,EMP7147,Anti-Harassment & Respect at Work,Day 30,Completed
LRN-30444,EMP7147,Role-Specific Certification,Day 60,Not Started
LRN-30445,EMP7148,Security Awareness,Day 7,Completed
LRN-30446,EMP7148,Data Privacy (PDPA/GDPR),Day 30,In Progress
LRN-30447,EMP7148,Compliance Refresher,Day 60,Not Started
LRN-30448,EMP7149,Security Awareness,Day 7,Completed
LRN-30449,EMP7149,Data Privacy (PDPA/GDPR),Day 30,In Progress
LRN-30450,EMP7149,Compliance Refresher,Day 60,Completed
