Integration_Event_ID,Employee_ID,Resource,Requested_On,Status,Fulfilled_On
INT-60406,EMP7081,Laptop,2026-07-09,Blocked,
INT-60407,EMP7081,Email,2026-07-04,Fulfilled,2026-06-30
INT-60408,EMP7081,Badge,2026-06-22,Requested,
INT-60409,EMP7081,VPN,2026-06-30,Fulfilled,2026-07-08
INT-60410,EMP7081,System Access,2026-07-03,Blocked,
INT-60411,EMP7082,Laptop,2026-05-28,Fulfilled,2026-05-23
INT-60412,EMP7082,Email,2026-06-09,Fulfilled,2026-06-17
INT-60413,EMP7082,Badge,2026-05-24,Requested,
INT-60414,EMP7082,VPN,2026-06-08,Requested,
INT-60415,EMP7082,System Access,2026-05-26,Fulfilled,2026-05-29
INT-60416,EMP7083,Laptop,2026-08-17,Fulfilled,2026-08-11
INT-60417,EMP7083,Email,2026-08-04,Blocked,
INT-60418,EMP7083,Badge,2026-08-15,Blocked,
INT-60419,EMP7083,VPN,2026-08-09,Fulfilled,2026-08-14
INT-60420,EMP7083,System Access,2026-08-10,Fulfilled,2026-08-06
INT-60421,EMP7084,Laptop,2026-06-22,Fulfilled,2026-06-16
INT-60422,EMP7084,Email,2026-06-22,Fulfilled,2026-06-22
INT-60423,EMP7084,Badge,2026-06-24,Fulfilled,2026-06-21
INT-60424,EMP7084,VPN,2026-06-27,Blocked,
INT-60425,EMP7084,System Access,2026-06-27,Fulfilled,2026-07-04
INT-60426,EMP7085,Laptop,2026-07-09,Fulfilled,2026-07-13
INT-60427,EMP7085,Email,2026-07-03,Requested,
INT-60428,EMP7085,Badge,2026-06-29,Requested,
INT-60429,EMP7085,VPN,2026-06-29,Fulfilled,2026-07-05
INT-60430,EMP7085,System Access,2026-07-06,Fulfilled,2026-07-07
INT-60431,EMP7086,Laptop,2026-07-11,Fulfilled,2026-07-16
INT-60432,EMP7086,Email,2026-07-15,Fulfilled,2026-07-09
INT-60433,EMP7086,Badge,2026-07-17,Requested,
INT-60434,EMP7086,VPN,2026-07-15,Fulfilled,2026-07-21
INT-60435,EMP7086,System Access,2026-07-11,Fulfilled,2026-07-12
INT-60436,EMP7087,Laptop,2026-07-08,Requested,
INT-60437,EMP7087,Email,2026-07-14,Requested,
INT-60438,EMP7087,Badge,2026-07-17,Fulfilled,2026-07-13
INT-60439,EMP7087,VPN,2026-07-12,Fulfilled,2026-07-15
INT-60440,EMP7087,System Access,2026-07-21,Fulfilled,2026-08-01
INT-60441,EMP7088,Laptop,2026-07-23,Fulfilled,2026-07-25
INT-60442,EMP7088,Email,2026-07-08,Requested,
INT-60443,EMP7088,Badge,2026-07-15,Requested,
INT-60444,EMP7088,VPN,2026-07-17,Requested,
INT-60445,EMP7088,System Access,2026-07-09,Fulfilled,2026-07-08
INT-60446,EMP7089,Laptop,2026-07-16,Requested,
INT-60447,EMP7089,Email,2026-07-21,Fulfilled,2026-07-25
INT-60448,EMP7089,Badge,2026-07-06,Requested,
INT-60449,EMP7089,VPN,2026-07-24,Fulfilled,2026-07-30
INT-60450,EMP7089,System Access,2026-07-22,Requested,
INT-60451,EMP7090,Laptop,2026-06-29,Fulfilled,2026-07-11
INT-60452,EMP7090,Email,2026-06-22,Fulfilled,2026-06-16
INT-60453,EMP7090,Badge,2026-06-25,Fulfilled,2026-06-26
INT-60454,EMP7090,VPN,2026-07-05,Blocked,
INT-60455,EMP7090,System Access,2026-06-29,Requested,
INT-60456,EMP7091,Laptop,2026-08-03,Fulfilled,2026-08-01
INT-60457,EMP7091,Email,2026-08-12,Fulfilled,2026-08-15
INT-60458,EMP7091,Badge,2026-08-07,Fulfilled,2026-08-13
INT-60459,EMP7091,VPN,2026-08-07,Requested,
INT-60460,EMP7091,System Access,2026-08-02,Fulfilled,2026-08-10
INT-60461,EMP7092,Laptop,2026-05-21,Fulfilled,2026-05-23
INT-60462,EMP7092,Email,2026-05-21,Requested,
INT-60463,EMP7092,Badge,2026-05-12,Fulfilled,2026-05-19
INT-60464,EMP7092,VPN,2026-05-20,Blocked,
INT-60465,EMP7092,System Access,2026-05-11,Fulfilled,2026-05-15
INT-60466,EMP7093,Laptop,2026-05-08,Fulfilled,2026-05-08
INT-60467,EMP7093,Email,2026-05-15,Fulfilled,2026-05-16
INT-60468,EMP7093,Badge,2026-05-05,Requested,
INT-60469,EMP7093,VPN,2026-05-10,Fulfilled,2026-05-14
INT-60470,EMP7093,System Access,2026-05-03,Fulfilled,2026-04-27
INT-60471,EMP7094,Laptop,2026-07-19,Fulfilled,2026-07-15
INT-60472,EMP7094,Email,2026-07-23,Fulfilled,2026-07-21
INT-60473,EMP7094,Badge,2026-07-23,Fulfilled,2026-07-19
INT-60474,EMP7094,VPN,2026-07-22,Requested,
INT-60475,EMP7094,System Access,2026-08-03,Fulfilled,2026-08-04
INT-60476,EMP7095,Laptop,2026-05-26,Fulfilled,2026-06-02
INT-60477,EMP7095,Email,2026-05-24,Fulfilled,2026-05-23
INT-60478,EMP7095,Badge,2026-05-16,Fulfilled,2026-05-23
INT-60479,EMP7095,VPN,2026-05-15,Requested,
INT-60480,EMP7095,System Access,2026-05-17,Fulfilled,2026-05-20
INT-60481,EMP7096,Laptop,2026-06-12,Fulfilled,2026-06-12
INT-60482,EMP7096,Email,2026-06-02,Fulfilled,2026-05-29
INT-60483,EMP7096,Badge,2026-06-05,Fulfilled,2026-06-11
INT-60484,EMP7096,VPN,2026-05-30,Fulfilled,2026-06-07
INT-60485,EMP7096,System Access,2026-06-07,Fulfilled,2026-06-14
INT-60486,EMP7097,Laptop,2026-07-23,Fulfilled,2026-07-17
INT-60487,EMP7097,Email,2026-07-31,Fulfilled,2026-07-27
INT-60488,EMP7097,Badge,2026-07-28,Requested,
INT-60489,EMP7097,VPN,2026-08-05,Fulfilled,2026-08-16
INT-60490,EMP7097,System Access,2026-07-24,Fulfilled,2026-07-30
INT-60491,EMP7098,Laptop,2026-07-03,Fulfilled,2026-07-11
INT-60492,EMP7098,Email,2026-06-28,Fulfilled,2026-07-09
INT-60493,EMP7098,Badge,2026-07-04,Fulfilled,2026-07-08
INT-60494,EMP7098,VPN,2026-06-23,Requested,
INT-60495,EMP7098,System Access,2026-07-04,Fulfilled,2026-07-02
INT-60496,EMP7099,Laptop,2026-05-14,Fulfilled,2026-05-08
INT-60497,EMP7099,Email,2026-05-24,Blocked,
INT-60498,EMP7099,Badge,2026-05-19,Fulfilled,2026-05-25
INT-60499,EMP7099,VPN,2026-05-21,Fulfilled,2026-05-26
INT-60500,EMP7099,System Access,2026-05-20,Fulfilled,2026-05-23
INT-60501,EMP7100,Laptop,2026-05-30,Fulfilled,2026-06-06
INT-60502,EMP7100,Email,2026-05-13,Fulfilled,2026-05-19
INT-60503,EMP7100,Badge,2026-05-30,Fulfilled,2026-05-30
INT-60504,EMP7100,VPN,2026-05-25,Fulfilled,2026-05-30
INT-60505,EMP7100,System Access,2026-05-28,Requested,
INT-60506,EMP7101,Laptop,2026-05-11,Requested,
INT-60507,EMP7101,Email,2026-05-07,Requested,
INT-60508,EMP7101,Badge,2026-04-27,Requested,
INT-60509,EMP7101,VPN,2026-05-08,Fulfilled,2026-05-09
INT-60510,EMP7101,System Access,2026-05-03,Fulfilled,2026-04-28
INT-60511,EMP7102,Laptop,2026-06-17,Requested,
INT-60512,EMP7102,Email,2026-06-06,Requested,
INT-60513,EMP7102,Badge,2026-06-10,Fulfilled,2026-06-18
INT-60514,EMP7102,VPN,2026-06-10,Fulfilled,2026-06-11
INT-60515,EMP7102,System Access,2026-06-24,Requested,
INT-60516,EMP7103,Laptop,2026-05-16,Fulfilled,2026-05-13
INT-60517,EMP7103,Email,2026-05-13,Requested,
INT-60518,EMP7103,Badge,2026-05-23,Fulfilled,2026-06-04
INT-60519,EMP7103,VPN,2026-05-13,Fulfilled,2026-05-13
INT-60520,EMP7103,System Access,2026-05-24,Fulfilled,2026-05-31
INT-60521,EMP7104,Laptop,2026-05-16,Requested,
INT-60522,EMP7104,Email,2026-05-17,Fulfilled,2026-05-28
INT-60523,EMP7104,Badge,2026-05-20,Requested,
INT-60524,EMP7104,VPN,2026-05-17,Blocked,
INT-60525,EMP7104,System Access,2026-05-21,Blocked,
INT-60526,EMP7105,Laptop,2026-07-21,Fulfilled,2026-08-02
INT-60527,EMP7105,Email,2026-07-30,Fulfilled,2026-08-01
INT-60528,EMP7105,Badge,2026-07-25,Blocked,
INT-60529,EMP7105,VPN,2026-07-31,Requested,
INT-60530,EMP7105,System Access,2026-07-28,Fulfilled,2026-07-27
INT-60531,EMP7106,Laptop,2026-08-01,Fulfilled,2026-07-29
INT-60532,EMP7106,Email,2026-07-19,Blocked,
INT-60533,EMP7106,Badge,2026-07-30,Fulfilled,2026-08-06
INT-60534,EMP7106,VPN,2026-07-26,Blocked,
INT-60535,EMP7106,System Access,2026-07-30,Fulfilled,2026-07-29
INT-60536,EMP7107,Laptop,2026-05-22,Fulfilled,2026-05-20
INT-60537,EMP7107,Email,2026-05-17,Fulfilled,2026-05-16
INT-60538,EMP7107,Badge,2026-05-27,Fulfilled,2026-06-04
INT-60539,EMP7107,VPN,2026-05-29,Fulfilled,2026-05-28
INT-60540,EMP7107,System Access,2026-05-17,Fulfilled,2026-05-16
INT-60541,EMP7108,Laptop,2026-08-06,Fulfilled,2026-08-13
INT-60542,EMP7108,Email,2026-08-14,Requested,
INT-60543,EMP7108,Badge,2026-08-03,Requested,
INT-60544,EMP7108,VPN,2026-08-05,Fulfilled,2026-08-08
INT-60545,EMP7108,System Access,2026-08-02,Fulfilled,2026-07-30
INT-60546,EMP7109,Laptop,2026-05-31,Fulfilled,2026-06-04
INT-60547,EMP7109,Email,2026-05-23,Requested,
INT-60548,EMP7109,Badge,2026-05-30,Fulfilled,2026-06-08
INT-60549,EMP7109,VPN,2026-05-26,Fulfilled,2026-05-21
INT-60550,EMP7109,System Access,2026-05-31,Blocked,
INT-60551,EMP7110,Laptop,2026-07-20,Requested,
INT-60552,EMP7110,Email,2026-08-07,Fulfilled,2026-08-04
INT-60553,EMP7110,Badge,2026-07-26,Fulfilled,2026-07-20
INT-60554,EMP7110,VPN,2026-08-01,Requested,
INT-60555,EMP7110,System Access,2026-08-05,Blocked,
INT-60556,EMP7111,Laptop,2026-06-15,Fulfilled,2026-06-24
INT-60557,EMP7111,Email,2026-06-17,Requested,
INT-60558,EMP7111,Badge,2026-06-20,Fulfilled,2026-06-25
INT-60559,EMP7111,VPN,2026-06-17,Fulfilled,2026-06-18
INT-60560,EMP7111,System Access,2026-06-18,Requested,
INT-60561,EMP7112,Laptop,2026-07-19,Fulfilled,2026-07-14
INT-60562,EMP7112,Email,2026-07-18,Fulfilled,2026-07-15
INT-60563,EMP7112,Badge,2026-07-07,Fulfilled,2026-07-13
INT-60564,EMP7112,VPN,2026-07-11,Fulfilled,2026-07-08
INT-60565,EMP7112,System Access,2026-07-23,Fulfilled,2026-07-24
INT-60566,EMP7113,Laptop,2026-07-15,Fulfilled,2026-07-24
INT-60567,EMP7113,Email,2026-07-20,Fulfilled,2026-07-20
INT-60568,EMP7113,Badge,2026-07-04,Requested,
INT-60569,EMP7113,VPN,2026-07-14,Fulfilled,2026-07-19
INT-60570,EMP7113,System Access,2026-07-05,Blocked,
INT-60571,EMP7114,Laptop,2026-07-17,Requested,
INT-60572,EMP7114,Email,2026-07-21,Fulfilled,2026-07-30
INT-60573,EMP7114,Badge,2026-07-19,Blocked,
INT-60574,EMP7114,VPN,2026-07-09,Fulfilled,2026-07-16
INT-60575,EMP7114,System Access,2026-07-22,Requested,
INT-60576,EMP7115,Laptop,2026-07-20,Blocked,
INT-60577,EMP7115,Email,2026-07-29,Fulfilled,2026-07-29
INT-60578,EMP7115,Badge,2026-07-21,Fulfilled,2026-08-02
INT-60579,EMP7115,VPN,2026-08-02,Fulfilled,2026-07-31
INT-60580,EMP7115,System Access,2026-08-01,Fulfilled,2026-08-04
INT-60581,EMP7116,Laptop,2026-07-06,Fulfilled,2026-07-05
INT-60582,EMP7116,Email,2026-07-03,Fulfilled,2026-07-12
INT-60583,EMP7116,Badge,2026-07-06,Fulfilled,2026-07-07
INT-60584,EMP7116,VPN,2026-06-25,Fulfilled,2026-06-21
INT-60585,EMP7116,System Access,2026-06-22,Fulfilled,2026-06-16
INT-60586,EMP7117,Laptop,2026-05-31,Fulfilled,2026-06-06
INT-60587,EMP7117,Email,2026-06-03,Fulfilled,2026-06-05
INT-60588,EMP7117,Badge,2026-06-10,Requested,
INT-60589,EMP7117,VPN,2026-05-29,Requested,
INT-60590,EMP7117,System Access,2026-05-30,Fulfilled,2026-06-08
INT-60591,EMP7118,Laptop,2026-08-02,Requested,
INT-60592,EMP7118,Email,2026-08-10,Fulfilled,2026-08-22
INT-60593,EMP7118,Badge,2026-08-02,Requested,
INT-60594,EMP7118,VPN,2026-08-10,Fulfilled,2026-08-16
INT-60595,EMP7118,System Access,2026-08-17,Fulfilled,2026-08-18
INT-60596,EMP7119,Laptop,2026-07-13,Fulfilled,2026-07-10
INT-60597,EMP7119,Email,2026-07-15,Fulfilled,2026-07-12
INT-60598,EMP7119,Badge,2026-07-08,Fulfilled,2026-07-20
INT-60599,EMP7119,VPN,2026-07-12,Blocked,
INT-60600,EMP7119,System Access,2026-07-09,Requested,
INT-60601,EMP7120,Laptop,2026-06-04,Fulfilled,2026-06-08
INT-60602,EMP7120,Email,2026-06-05,Requested,
INT-60603,EMP7120,Badge,2026-05-24,Fulfilled,2026-05-19
INT-60604,EMP7120,VPN,2026-06-11,Fulfilled,2026-06-11
INT-60605,EMP7120,System Access,2026-06-05,Fulfilled,2026-06-09
INT-60606,EMP7121,Laptop,2026-06-04,Requested,
INT-60607,EMP7121,Email,2026-05-28,Fulfilled,2026-06-09
INT-60608,EMP7121,Badge,2026-05-31,Fulfilled,2026-06-06
INT-60609,EMP7121,VPN,2026-05-24,Fulfilled,2026-06-01
INT-60610,EMP7121,System Access,2026-06-03,Fulfilled,2026-06-06
INT-60611,EMP7122,Laptop,2026-08-09,Fulfilled,2026-08-17
INT-60612,EMP7122,Email,2026-08-06,Requested,
INT-60613,EMP7122,Badge,2026-08-11,Fulfilled,2026-08-06
INT-60614,EMP7122,VPN,2026-08-12,Fulfilled,2026-08-22
INT-60615,EMP7122,System Access,2026-08-05,Fulfilled,2026-08-17
INT-60616,EMP7123,Laptop,2026-06-22,Requested,
INT-60617,EMP7123,Email,2026-06-13,Fulfilled,2026-06-16
INT-60618,EMP7123,Badge,2026-06-19,Fulfilled,2026-06-23
INT-60619,EMP7123,VPN,2026-06-11,Requested,
INT-60620,EMP7123,System Access,2026-06-13,Blocked,
INT-60621,EMP7124,Laptop,2026-07-13,Requested,
INT-60622,EMP7124,Email,2026-07-07,Blocked,
INT-60623,EMP7124,Badge,2026-07-11,Fulfilled,2026-07-17
INT-60624,EMP7124,VPN,2026-07-15,Requested,
INT-60625,EMP7124,System Access,2026-07-11,Fulfilled,2026-07-22
INT-60626,EMP7125,Laptop,2026-07-18,Fulfilled,2026-07-25
INT-60627,EMP7125,Email,2026-07-21,Fulfilled,2026-07-27
INT-60628,EMP7125,Badge,2026-07-18,Fulfilled,2026-07-28
INT-60629,EMP7125,VPN,2026-07-15,Fulfilled,2026-07-15
INT-60630,EMP7125,System Access,2026-07-23,Fulfilled,2026-07-20
INT-60631,EMP7126,Laptop,2026-08-06,Fulfilled,2026-08-18
INT-60632,EMP7126,Email,2026-08-03,Requested,
INT-60633,EMP7126,Badge,2026-08-11,Fulfilled,2026-08-10
INT-60634,EMP7126,VPN,2026-08-20,Fulfilled,2026-08-28
INT-60635,EMP7126,System Access,2026-08-17,Fulfilled,2026-08-15
INT-60636,EMP7127,Laptop,2026-07-27,Fulfilled,2026-07-27
INT-60637,EMP7127,Email,2026-07-21,Fulfilled,2026-08-02
INT-60638,EMP7127,Badge,2026-07-24,Requested,
INT-60639,EMP7127,VPN,2026-07-25,Fulfilled,2026-08-01
INT-60640,EMP7127,System Access,2026-07-26,Fulfilled,2026-07-23
INT-60641,EMP7128,Laptop,2026-07-01,Fulfilled,2026-06-30
INT-60642,EMP7128,Email,2026-06-21,Fulfilled,2026-07-01
INT-60643,EMP7128,Badge,2026-06-30,Requested,
INT-60644,EMP7128,VPN,2026-07-03,Fulfilled,2026-07-09
INT-60645,EMP7128,System Access,2026-06-27,Fulfilled,2026-06-24
INT-60646,EMP7129,Laptop,2026-08-08,Fulfilled,2026-08-17
INT-60647,EMP7129,Email,2026-08-10,Requested,
INT-60648,EMP7129,Badge,2026-08-06,Requested,
INT-60649,EMP7129,VPN,2026-08-13,Blocked,
INT-60650,EMP7129,System Access,2026-08-03,Blocked,
INT-60651,EMP7130,Laptop,2026-07-21,Requested,
INT-60652,EMP7130,Email,2026-07-19,Fulfilled,2026-07-27
INT-60653,EMP7130,Badge,2026-07-18,Fulfilled,2026-07-15
INT-60654,EMP7130,VPN,2026-07-10,Fulfilled,2026-07-07
INT-60655,EMP7130,System Access,2026-07-22,Requested,
INT-60656,EMP7131,Laptop,2026-05-28,Fulfilled,2026-05-22
INT-60657,EMP7131,Email,2026-05-30,Requested,
INT-60658,EMP7131,Badge,2026-05-30,Fulfilled,2026-06-01
INT-60659,EMP7131,VPN,2026-05-15,Requested,
INT-60660,EMP7131,System Access,2026-05-17,Fulfilled,2026-05-26
INT-60661,EMP7132,Laptop,2026-05-11,Fulfilled,2026-05-23
INT-60662,EMP7132,Email,2026-05-02,Fulfilled,2026-05-06
INT-60663,EMP7132,Badge,2026-04-30,Requested,
INT-60664,EMP7132,VPN,2026-05-15,Fulfilled,2026-05-21
INT-60665,EMP7132,System Access,2026-04-28,Fulfilled,2026-05-09
INT-60666,EMP7133,Laptop,2026-05-27,Fulfilled,2026-06-05
INT-60667,EMP7133,Email,2026-05-12,Fulfilled,2026-05-24
INT-60668,EMP7133,Badge,2026-05-27,Requested,
INT-60669,EMP7133,VPN,2026-05-13,Blocked,
INT-60670,EMP7133,System Access,2026-05-16,Requested,
INT-60671,EMP7134,Laptop,2026-06-12,Fulfilled,2026-06-11
INT-60672,EMP7134,Email,2026-06-09,Requested,
INT-60673,EMP7134,Badge,2026-06-23,Fulfilled,2026-06-20
INT-60674,EMP7134,VPN,2026-06-10,Fulfilled,2026-06-22
INT-60675,EMP7134,System Access,2026-06-15,Requested,
INT-60676,EMP7135,Laptop,2026-08-08,Fulfilled,2026-08-19
INT-60677,EMP7135,Email,2026-08-11,Blocked,
INT-60678,EMP7135,Badge,2026-08-04,Fulfilled,2026-08-01
INT-60679,EMP7135,VPN,2026-08-19,Fulfilled,2026-08-24
INT-60680,EMP7135,System Access,2026-08-20,Fulfilled,2026-08-27
INT-60681,EMP7136,Laptop,2026-05-09,Fulfilled,2026-05-12
INT-60682,EMP7136,Email,2026-05-10,Fulfilled,2026-05-13
INT-60683,EMP7136,Badge,2026-05-26,Fulfilled,2026-05-24
INT-60684,EMP7136,VPN,2026-05-27,Fulfilled,2026-05-31
INT-60685,EMP7136,System Access,2026-05-25,Fulfilled,2026-06-05
INT-60686,EMP7137,Laptop,2026-08-06,Fulfilled,2026-08-03
INT-60687,EMP7137,Email,2026-07-22,Fulfilled,2026-07-17
INT-60688,EMP7137,Badge,2026-07-27,Fulfilled,2026-07-30
INT-60689,EMP7137,VPN,2026-07-27,Fulfilled,2026-08-07
INT-60690,EMP7137,System Access,2026-07-27,Requested,
INT-60691,EMP7138,Laptop,2026-06-05,Fulfilled,2026-06-03
INT-60692,EMP7138,Email,2026-06-07,Fulfilled,2026-06-18
INT-60693,EMP7138,Badge,2026-06-02,Fulfilled,2026-06-08
INT-60694,EMP7138,VPN,2026-05-30,Fulfilled,2026-06-07
INT-60695,EMP7138,System Access,2026-05-27,Fulfilled,2026-06-03
INT-60696,EMP7139,Laptop,2026-06-26,Fulfilled,2026-06-26
INT-60697,EMP7139,Email,2026-06-24,Requested,
INT-60698,EMP7139,Badge,2026-06-30,Requested,
INT-60699,EMP7139,VPN,2026-06-28,Requested,
INT-60700,EMP7139,System Access,2026-07-03,Requested,
INT-60701,EMP7140,Laptop,2026-07-20,Requested,
INT-60702,EMP7140,Email,2026-07-09,Fulfilled,2026-07-07
INT-60703,EMP7140,Badge,2026-07-14,Fulfilled,2026-07-20
INT-60704,EMP7140,VPN,2026-07-04,Requested,
INT-60705,EMP7140,System Access,2026-07-11,Fulfilled,2026-07-13
INT-60706,EMP7141,Laptop,2026-07-08,Fulfilled,2026-07-05
INT-60707,EMP7141,Email,2026-07-22,Fulfilled,2026-07-18
INT-60708,EMP7141,Badge,2026-07-15,Requested,
INT-60709,EMP7141,VPN,2026-07-07,Fulfilled,2026-07-11
INT-60710,EMP7141,System Access,2026-07-13,Fulfilled,2026-07-14
INT-60711,EMP7142,Laptop,2026-07-13,Fulfilled,2026-07-10
INT-60712,EMP7142,Email,2026-07-17,Fulfilled,2026-07-23
INT-60713,EMP7142,Badge,2026-07-08,Fulfilled,2026-07-07
INT-60714,EMP7142,VPN,2026-07-21,Blocked,
INT-60715,EMP7142,System Access,2026-07-14,Requested,
INT-60716,EMP7143,Laptop,2026-06-22,Fulfilled,2026-07-02
INT-60717,EMP7143,Email,2026-06-18,Requested,
INT-60718,EMP7143,Badge,2026-06-25,Fulfilled,2026-07-06
INT-60719,EMP7143,VPN,2026-06-15,Requested,
INT-60720,EMP7143,System Access,2026-06-10,Fulfilled,2026-06-09
INT-60721,EMP7144,Laptop,2026-05-21,Blocked,
INT-60722,EMP7144,Email,2026-05-23,Fulfilled,2026-05-28
INT-60723,EMP7144,Badge,2026-05-28,Fulfilled,2026-06-03
INT-60724,EMP7144,VPN,2026-05-26,Requested,
INT-60725,EMP7144,System Access,2026-05-15,Fulfilled,2026-05-09
INT-60726,EMP7145,Laptop,2026-08-20,Requested,
INT-60727,EMP7145,Email,2026-08-08,Requested,
INT-60728,EMP7145,Badge,2026-08-08,Fulfilled,2026-08-14
INT-60729,EMP7145,VPN,2026-08-22,Blocked,
INT-60730,EMP7145,System Access,2026-08-12,Fulfilled,2026-08-17
INT-60731,EMP7146,Laptop,2026-08-08,Requested,
INT-60732,EMP7146,Email,2026-08-14,Requested,
INT-60733,EMP7146,Badge,2026-08-15,Fulfilled,2026-08-23
INT-60734,EMP7146,VPN,2026-08-12,Fulfilled,2026-08-22
INT-60735,EMP7146,System Access,2026-08-10,Fulfilled,2026-08-17
INT-60736,EMP7147,Laptop,2026-05-10,Requested,
INT-60737,EMP7147,Email,2026-05-01,Fulfilled,2026-04-27
INT-60738,EMP7147,Badge,2026-05-03,Fulfilled,2026-05-07
INT-60739,EMP7147,VPN,2026-04-26,Requested,
INT-60740,EMP7147,System Access,2026-04-26,Fulfilled,2026-04-27
INT-60741,EMP7148,Laptop,2026-08-06,Fulfilled,2026-08-18
INT-60742,EMP7148,Email,2026-08-05,Fulfilled,2026-08-08
INT-60743,EMP7148,Badge,2026-08-21,Fulfilled,2026-08-15
INT-60744,EMP7148,VPN,2026-08-17,Requested,
INT-60745,EMP7148,System Access,2026-08-20,Blocked,
INT-60746,EMP7149,Laptop,2026-06-13,Fulfilled,2026-06-22
INT-60747,EMP7149,Email,2026-06-25,Requested,
INT-60748,EMP7149,Badge,2026-06-26,Requested,
INT-60749,EMP7149,VPN,2026-06-12,Fulfilled,2026-06-06
INT-60750,EMP7149,System Access,2026-06-15,Blocked,
INT-60750,EMP7149,System Access,2026-06-15,Blocked,
